Date,Experiment Day,Treatment,Replicate,Nb of M,Nb of F,Nb of PF,Total Copepods
07/07/2025,6,SS,1,10,7,3,20
07/07/2025,6,SS,2,10,6,4,20
07/07/2025,6,SS,3,10,7,2,19
07/07/2025,6,SS,4,10,5,5,20
07/07/2025,6,SS,5,10,7,3,20
07/07/2025,6,SS,6,9,9,1,19
07/07/2025,6,SS+DM,1,10,1,9,20
07/07/2025,6,SS+DM,2,10,4,5,19
07/07/2025,6,SS+DM,3,10,6,4,20
07/07/2025,6,SS+DM,4,10,9,1,20
07/07/2025,6,SS+DM,5,10,7,3,20
07/07/2025,6,SS+DM,6,8,9,1,18
08/07/2025,7,Control,1,10,1,4,15
08/07/2025,7,Control,2,10,7,3,20
08/07/2025,7,Control,3,10,5,5,20
08/07/2025,7,Control,4,10,4,6,20
08/07/2025,7,Control,5,8,2,5,15
08/07/2025,7,Control,6,10,2,8,20
08/07/2025,7,DM,1,5,1,5,11
08/07/2025,7,DM,2,9,4,6,19
08/07/2025,7,DM,3,10,2,8,20
08/07/2025,7,DM,4,8,2,7,17
08/07/2025,7,DM,5,10,3,7,20
08/07/2025,7,DM,6,10,5,5,20
08/07/2025,7,SS,1,10,5,5,20
08/07/2025,7,SS,2,10,8,2,20
08/07/2025,7,SS,3,10,9,1,20
08/07/2025,7,SS,4,10,8,2,20
08/07/2025,7,SS,5,10,7,3,20
08/07/2025,7,SS,6,9,8,2,19
08/07/2025,7,SS+DM,1,10,2,8,20
08/07/2025,7,SS+DM,2,10,2,7,19
08/07/2025,7,SS+DM,3,10,5,5,20
08/07/2025,7,SS+DM,4,10,10,0,20
08/07/2025,7,SS+DM,5,10,8,1,19
08/07/2025,7,SS+DM,6,8,6,4,18
09/07/2025,8,Control,1,9,3,1,13
09/07/2025,8,Control,2,10,5,5,20
09/07/2025,8,Control,3,10,1,8,19
09/07/2025,8,Control,4,10,6,4,20
09/07/2025,8,Control,5,7,0,7,14
09/07/2025,8,Control,6,10,4,6,20
09/07/2025,8,DM,1,5,0,5,10
09/07/2025,8,DM,2,9,1,9,19
09/07/2025,8,DM,3,10,5,5,20
09/07/2025,8,DM,4,8,3,5,16
09/07/2025,8,DM,5,10,5,5,20
09/07/2025,8,DM,6,10,2,7,19
09/07/2025,8,SS,1,10,3,7,20
09/07/2025,8,SS,2,9,8,2,19
09/07/2025,8,SS,3,10,7,3,20
09/07/2025,8,SS,4,10,8,2,20
09/07/2025,8,SS,5,10,4,6,20
09/07/2025,8,SS,6,9,6,4,19
09/07/2025,8,SS+DM,1,10,3,7,20
09/07/2025,8,SS+DM,2,9,5,2,16
09/07/2025,8,SS+DM,3,10,5,5,20
09/07/2025,8,SS+DM,4,10,6,4,20
09/07/2025,8,SS+DM,5,10,6,3,19
09/07/2025,8,SS+DM,6,8,5,5,18
10/07/2025,9,Control,1,8,0,4,12
10/07/2025,9,Control,2,10,8,2,20
10/07/2025,9,Control,3,10,2,7,19
10/07/2025,9,Control,4,10,5,5,20
10/07/2025,9,Control,5,7,2,5,14
10/07/2025,9,Control,6,10,4,6,20
10/07/2025,9,DM,1,4,2,3,9
10/07/2025,9,DM,2,8,4,5,17
10/07/2025,9,DM,3,10,4,6,20
10/07/2025,9,DM,4,8,2,6,16
10/07/2025,9,DM,5,10,3,7,20
10/07/2025,9,DM,6,10,2,7,19
10/07/2025,9,SS,1,10,4,6,20
10/07/2025,9,SS,2,9,8,2,19
10/07/2025,9,SS,3,10,5,5,20
10/07/2025,9,SS,4,10,9,1,20
10/07/2025,9,SS,5,10,5,5,20
10/07/2025,9,SS,6,9,6,4,19
10/07/2025,9,SS+DM,1,10,5,5,20
10/07/2025,9,SS+DM,2,5,5,2,12
10/07/2025,9,SS+DM,3,10,4,6,20
